text,label,source_url,date,platform,user,rating
"🔥Top-Rated💎AILYONS Self-Service High Performance Home Appliance Energy Efficient Dry Iron Box, Ironbox + FREE GIFT Rechargeable Water Hand Pump Dispenser",0,https://www.kilimall.co.ke/listing/1001482700-TopRatedAILYONS-SelfService-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Water-Hand-Pump-Dispenser,,kilimall,Anonymous,
"Best price for Corn C16 Pro Max 64GB Storage +5(2+3Extended ) RamUnlocked Cell Phone, Android 6.6&quot;HD +WATERDROP SCREEN 13MP Main Camera,8mp Front camera 5000mAh Dual SIM, Face ID, GPS, OTG Smart Phone Smartphone Color-black Storage-64GB ROM + 5(2+3Extended)GB RAM 1001200040",0,https://www.kilimall.co.ke/listing/1001200040-Corn-C16-Pro-Max-64GB-Storage-523Extended-RamUnlocked-Cell-Phone-Android-66HD-WATERDROP-SCREEN-13MP-Main-Camera8mp-Front-camera-5000mAh-Dual-SIM-Face-ID-GPS-OTG-Smart-Phone-Smartphone,,kilimall,Anonymous,
Best price for Havit HF610 Small home appliances-Handheld high speed fan Color-Black 1001803647,0,https://www.kilimall.co.ke/listing/1001803647-Havit-HF610-Small-home-appliancesHandheld-high-speed-fan,,kilimall,Anonymous,
Specification contrary from the Product itself.. I purchased this phone after carefully going through the specifications said in the description only to find out that all that was described is not there. 1 No fingerprint. 2 No Dual Camera Single Camera 5mega pixel,0,https://www.jumia.co.ke/renewed-samsung-galaxy-a20-android-smartphone-white-32gb3gbsingle-sim-refurbished-by-badili.-306464315.html,02-05-2025,jumia,Elijah Kibet,3 out of 5
Best price for 【LIMITED OFFER】 Eurochef EGT55-3G1E-E 55L Home Improvement Free standing Gas Cooker 3 GAS + 1 Hot Plate Kitchen appliance with electric oven Color-Silver 2488867,0,https://www.kilimall.co.ke/listing/2488867-Eurochef-55L-Gas-Cooker-3G1H,,kilimall,Anonymous,
I like it ????. Best battery ????,0,https://www.jumia.co.ke/samsung-galaxy-a16-6.7-hd-4gb-ram-128gb-rom-dual-sim-50mp-5000mah-comes-with-free-gifts-airpods-smart-watch-powerbank-for-you-grey-297282731.html,02-02-2026,jumia,Stephen,5 out of 5
Best price for 60 litres ecomax deep freezerThe Ecomax energy-saving chest freezer is a small-sized home appliance that is perfect for storing all your frozen foods. The freezer has a capacity of 60 liters and hence Color-Silver 1001724804,0,https://www.kilimall.co.ke/listing/1001724804-60-litres-ecomax-deep-freezerThe-Ecomax-energysaving-chest-freezer-is-a-smallsized-home-appliance-that-is-perfect-for-storing-all-your-frozen-foods-The-freezer-has-a-capacity-of-60-liters-and-hence,,kilimall,Anonymous,
Unbeatable watch! durable! genuine! Five stars!!!,1,,,synthetic,synthetic_generator,
Artel ECOMAX SONAR RAMTONS TAGWOOD ElectroMate,0,https://www.kilimall.co.ke/listing/1001008317-Samsung-Galaxy-A16-128GB-Smartphone,,kilimall,Anonymous,
[Tech Week] Brand New Realme Note 50 90Hz 6.74&quot; 64GB ROM + 6(3+3)GB RAM 5000mAh 13MP Al Camera Unisoc Tiger T612 Type-C 3-Card Slot Smart Phones Side Fingerprint phone,0,https://www.kilimall.co.ke/listing/1000192714-realme-Note-50-90Hz-Smartphone,,kilimall,Anonymous,
"Best speaker ever, get yours. highly recommend. Don't miss this deal!!!",1,,,synthetic,synthetic_generator,
Best price for itel P55 24(8+16)GB RAM + 128GB 6.6&quot; 90Hz Display Game Phones Dual SIM 4G Network 50MP Camera 18W Fast Charging 5000mAh Battery Fingerprint And Face Unlock Smart Phones Color-Aurora Blue Storage-128GB+24(8+16)GB 1000418514,0,https://www.kilimall.co.ke/listing/1000418514-itel-P55-24-816GB-128GB-66-90Hz-Smartphone,,kilimall,Anonymous,
[Tech Week] New Arrival Samsung Galaxy A07 128GB+4GB MTK Helio G99 6.7&quot; 90Hz 50MP Dual Camera 5000mAh 25W Type-C Charge Android 15 Smart Phones IP54 Waterproof Side Fingerprint phone,0,https://www.kilimall.co.ke/listing/1001434746-Samsung-Galaxy-A07-128GB-Smartphone,,kilimall,Anonymous,
Unbeatable kettle! deluxe! unique! Five stars!!!,1,,,synthetic,synthetic_generator,
[NEW ARRIVALS!!!]Itel A90 128GB+12(4+8)GB RAM 6.6“ 90HZ Display Phone Dual SIM 4G Network 13MP Camera Fingerprint Unlock 15W 5000 mAh Battery Android 14 Octa-core Smart Phones,0,https://www.kilimall.co.ke/listing/1001764100-NEW-ARRIVALSItel-A90-128GB1248GB-RAM-66-90HZ-Display-Phone-Dual-SIM-4G-Network-13MP-Camera-Fingerprint-Unlock-15W-5000-mAh-Battery-Android-14-Octacore-Smart-Phones,,kilimall,Anonymous,
"LIMITED TIME DEALS!!!! BRAND NEW CORN C16 PRO MAX 6.6&quot; STORAGE ROM 64GB RAM 5GB STRONG BATTERY 5000 mAh DOUBLE SIM CARD SMART PHONE ON OFFER FINGERPRINT FACE UNLOCK,8MP SEILFE 13MP TYPE-C",0,https://www.kilimall.co.ke/listing/1001582765-CALUS-C16-PRO-MAX-64GB-Smartphone,,kilimall,Anonymous,
"Perfect phone 10/10!!! flawless, powerful, and super fast delivery!!!",1,,,synthetic,synthetic_generator,
[Tech Week] Brand New Realme Note 50 90Hz 6.74&quot; 128GB ROM + 8(4+4)GB RAM 5000mAh 13MP Al Camera Unisoc Tiger T612 Type-C 3-Card Slot Smart Phones Side Fingerprint phone,0,https://www.kilimall.co.ke/listing/1000192744-realme-Note-50-90Hz-Smartphone,,kilimall,Anonymous,
"Ships from Zimmerman , select an address to view delivery times.",0,https://www.kilimall.co.ke/listing/1001801207-Fridge-TV-Guard13-Amps-Amp-Power-Protection-for-TVs-Refrigerators-and-Home-Appliances,,kilimall,Anonymous,
Best price for Ailyons 16-inch wall fan.,0,https://www.kilimall.co.ke/listing/1001646722-Ailyons-16inch-Wall-Fan,,kilimall,Anonymous,
AMAZING bag!!! highly recommend and click now! Buy now and thank me later!!!,1,,,synthetic,synthetic_generator,
"Brand New Chuwi Laptop Corebook i3 10th ultrabook: (kama i7 7th), 8GB+256GB SSD, 14&quot; Full HD Ultrabook with Long Battery Life &amp; Win 11 system WiFi6 Bluetooth 5.2",0,https://www.kilimall.co.ke/listing/1001567710-CHUWI-Corebook-i3-10th-14-FHD-Laptop,,kilimall,Anonymous,
"Perfect speaker 10/10!!! durable, limited stock, and super fast delivery!!!",1,,,synthetic,synthetic_generator,
"Perfect watch 10/10!!! best buy, perfect, and super fast delivery!!!",1,,,synthetic,synthetic_generator,
"Best price for AILYONS Electric Kettle + Free 4-Way Extension Cable – Coil-Less Water Heater &amp; Boiler Jug, Fast Boil, Stainless Steel, Durable &amp; Convenient Home Appliance Set Color-Silver 1001537186",0,https://www.kilimall.co.ke/listing/1001537186-AILYONS-Electric-Kettle-Stainless-Steel,,kilimall,Anonymous,
Best price for Refurbished Apple MacBook Pro 13&quot; Core i5 2.4GHz 8GB RAM 500GB HDD (Mid 2012) MacOS Laptop Silver + Bag Color-Silver 1001258085,0,https://www.kilimall.co.ke/listing/1001258085-Refurbished-Apple-MacBook-Pro-13-Core-i5-24GHz-8GB-RAM-500GB-HDD-Mid-2012-MacOS-Laptop-Silver-Bag,,kilimall,Anonymous,
⭐ MEGA OFFER ⭐ – 1 PC Smartpro 180L Chest Freezer Deep Freezer Energy Saving Durable Home Appliance,0,https://www.kilimall.co.ke/listing/1001811009-MEGA-OFFER-1-PC-Smartpro-180L-Chest-Freezer-Deep-Freezer-Energy-Saving-Durable-Home-Appliance,,kilimall,Anonymous,
"Best fridge ever, no risk. best buy. Don't miss this deal!!!",1,,,synthetic,synthetic_generator,
Best price for [Tech Week] Brand New Realme Note 50 90Hz 6.74&quot; 64GB ROM + 6(3+3)GB RAM 5000mAh 13MP Al Camera Unisoc Tiger T612 Type-C 3-Card Slot Smart Phones Side Fingerprint phone Color-Sky Blue Storage-64GB + 6(3+3)GB 1000192714,0,https://www.kilimall.co.ke/listing/1000192714-realme-Note-50-90Hz-Smartphone,,kilimall,Anonymous,
This fridge changed my life!!! 100% recommend. buy now. Order today!!!,1,,,synthetic,synthetic_generator,
How to apply aftersale/ Refund,0,https://www.kilimall.co.ke/listing/1000100017-Euroken-Euro6531EE-Standing-Gas-Cooker,,kilimall,Anonymous,
"Corn C16 Pro Max 64GB Storage +5(2+3Extended ) RamUnlocked Cell Phone, Android 6.6&quot;HD +WATERDROP SCREEN 13MP Main Camera,8mp Front camera 5000mAh Dual SIM, Face ID, GPS, OTG Smart Phone Smartphone",0,https://www.kilimall.co.ke/listing/1001200040-Corn-C16-Pro-Max-64GB-Storage-523Extended-RamUnlocked-Cell-Phone-Android-66HD-WATERDROP-SCREEN-13MP-Main-Camera8mp-Front-camera-5000mAh-Dual-SIM-Face-ID-GPS-OTG-Smart-Phone-Smartphone,,kilimall,Anonymous,
Best price for [Tech Week] Brand New Samsung Galaxy A06 64GB+4GB 50MP Camera 6.7&quot; 90Hz MTK Helio G85 (12nm) 5000mAh 25W Type-C Charge Android 14 Smart Phones phone Color-Black Storage-64GB+4GB 3054740,0,https://www.kilimall.co.ke/listing/3054740-Samsung-Galaxy-A05-64GB-50MP-Camera,,kilimall,Anonymous,
"AILYONS High Performance Home Appliance Energy Efficient Dry Iron Box, Ironbox + FREE GIFT Rechargeable Dining Table Water Hand Pump Dispenser.1000W",0,https://www.kilimall.co.ke/listing/1001415714-AILYONS-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Dining-Table-Water-Hand-Pump-Dispenser1000WCompact-designNonstick-soleplateOverheating-prot,,kilimall,Anonymous,
"Lovely!. A good wearable device, beautiful look. Battery lasts long. Product has nice features and functions well. Great value!",0,https://www.jumia.co.ke/itel-smartwatch-edge-r1-pro-043-1.43-super-amoled-display-5-minute-charge-24-hour-usageip68-waterproof-308793532.html,12-11-2025,jumia,Dan,5 out of 5
I like it. It's a nice product in love with it,0,https://www.jumia.co.ke/xiaomi-redmi-15-4g-6gb-ram-128gb-7000mah-grey-25-months-warranty.-325670447.html,15-01-2026,jumia,Samuel,4 out of 5
OFFER OFFER!!!!! Refurbished HP Probook 840 i5+8GB+500GB 1-2GHz processor Windows 11 Bluetooth Refurbished Laptop Notebook Computer Laptops,0,https://www.kilimall.co.ke/listing/1001696311-OFFER-OFFER-Refurbished-HP-Probook-840-i58GB500GB-12GHz-processor-Windows-11-Bluetooth-Refurbished-Laptop-Notebook-Computer-Laptops,,kilimall,Anonymous,
Unbeatable laptop! amazing! premium quality! Five stars!!!,1,,,synthetic,synthetic_generator,
64GB ROM + 5(2+3Extended)GB RAM,0,https://www.kilimall.co.ke/listing/1001200040-Corn-C16-Pro-Max-64GB-Storage-523Extended-RamUnlocked-Cell-Phone-Android-66HD-WATERDROP-SCREEN-13MP-Main-Camera8mp-Front-camera-5000mAh-Dual-SIM-Face-ID-GPS-OTG-Smart-Phone-Smartphone,,kilimall,Anonymous,
Best price for Scarlett Steam Iron Box + FREE 2L Automatic Electric Kettle | Home Appliance Combo Offer Ironbox Water Heater Jug Fast Heating &amp; Auto Shut-Off Color-Silver 2411567,0,https://www.kilimall.co.ke/listing/2411567-Scarlett-Steam-Iron-2L-Electric-Kettle,,kilimall,Anonymous,
"Best kettle ever, act fast. 5 star. Don't miss this deal!!!",1,,,synthetic,synthetic_generator,
This earbuds changed my life!!! dont miss. while supplies last. Order today!!!,1,,,synthetic,synthetic_generator,
AMAZING shoe!!! click here and perfect gift! Buy now and thank me later!!!,1,,,synthetic,synthetic_generator,
"Best price for 🎇SILVER CREST Commercial Heavy Duty Blender 2in1 6500watts Double Jug With Grinding Machine Or Grinder🦋Silvercrest offers affordable‎‎,‎‎ quality‎‎,‎‎ energy‎‎-efficient home appliances ‎‎for variou Color-AS PICTURED Size-2L 1001538284",0,https://www.kilimall.co.ke/listing/1001538284-SILVER-CREST-6500W-Heavy-Duty-Blender-2in1,,kilimall,Anonymous,
AMAZING blender!!! best ever and buy it now! Buy now and thank me later!!!,1,,,synthetic,synthetic_generator,
"i like it. Nice bass, quality guaranteed from thus store????????",0,https://www.jumia.co.ke/oraimo-boompop-lite-enc-over-ear-wireless-headphones-black-312876048.html,05-11-2025,jumia,James,5 out of 5
"Best phone ever, perfect gift. unique. Don't miss this deal!!!",1,,,synthetic,synthetic_generator,
"Best price for AILYONS 2 L Electric Kettle + FREE 4 WAY SOCKET EXTENSION CABLE – Coil-Less Water Heater &amp; Boiler Jug, Fast Boil, Stainless Steel, Durable &amp; Convenient Home Appliance Set Power King Ailyon Color-Silver 1001790001",0,https://www.kilimall.co.ke/listing/1001790001-AILYONS-2-L-Electric-Kettle-FREE-4-WAY-SOCKET-EXTENSION-CABLE-CoilLess-Water-Heater-Boiler-Jug-Fast-Boil-Stainless-Steel-Durable-Convenient-Home-Appliance-Set-Power-King-Ailyon,,kilimall,Anonymous,
Rashnik single hot plate electric cooker is home for quality and durable home appliances. Our products are made from high quality materials that guarantee durability of our products.This porta,0,https://www.kilimall.co.ke/listing/1001767526-Rashnik-single-hot-plate-electric-cooker-is-home-for-quality-and-durable-home-appliances-Our-products-are-made-from-high-quality-materials-that-guarantee-durability-of-our-productsThis-porta,,kilimall,Anonymous,
Best price for Baby Phone Toy Music Sound Telephone Sleeping Toys With Teether Simulation Phone Kids Infant Early Educational Learning Toy Birthday Gift Color-Pink 1001605830,0,https://www.kilimall.co.ke/listing/10004787655-Baby-Phone-Toy-Music-Sound-Telephone-Sleeping-Toys-With-Teether-Simulation-Phone-Kids-Infant-Early-Educational-Learning-Toy-Birthday-Gift-Pink,,kilimall,Anonymous,
New Mute Touch Mopping Robot Wireless Sweeping Wet And Dry All-In-One Cleaning Machine Smart Home Appliance Vacuum Cleaner,0,https://www.kilimall.co.ke/listing/2483968-New-Mute-Touch-Mopping-Robot-Wireless-Sweeping-Wet-And-Dry-AllInOne-Cleaning-Machine-Smart-Home-Appliance-Vacuum-Cleaner,,kilimall,Anonymous,
It is finee. As advertised. It works perfectly,0,https://www.jumia.co.ke/oraimo-boompop-lite-enc-over-ear-wireless-headphones-black-312876048.html,11-11-2025,jumia,Maryann Muchiri,5 out of 5
Dell Latitude 3190 x360 Touchscreen Intel Pentium 4GB RAM 128GB SSD 12 Inch Screen Size Refurbished Laptop With Windows 10 Pro and Microsoft Office Installed Computer Notebook Techno Supreme Suppliers,0,https://www.kilimall.co.ke/listing/1001687001-Dell-Latitude-3190-x360-Touchscreen-Intel-Pentium-4GB-RAM-128GB-SSD-12-Inch-Screen-Size-Refurbished-Laptop-With-Windows-10-Pro-and-Microsoft-Office-Installed-Computer-Notebook-Techno-Supreme-Suppliers,,kilimall,Anonymous,
Touchscreen Refurbished Dell Latitude 3390 X360 2-in-1 Laptop Intel Core i5 8th Gen 8GB RAM 256GB SSD 13.3 Inches FHD Display Refurbished Laptop Computer Notebook,0,https://www.kilimall.co.ke/listing/1001712034-Touchscreen-Refurbished-Dell-Latitude-3390-X360-2in1-Laptop-Intel-Core-i5-8th-Gen-8GB-RAM-256GB-SSD-133-Inches-FHD-Display-Refurbished-Laptop-Computer-Notebook,,kilimall,Anonymous,
Best price for HP ProBook 440 G4 Laptop | Intel Core i3 7th Generation | 4GB DDR4 RAM | 128GB SSD Storage | 14 Inch HD Display | Refurbished Laptop | Windows 10 Professional | Lightweight Business Notebook Color-grey and black 1001514979,0,https://www.kilimall.co.ke/listing/1001514979-HP-ProBook-440-G3-Ultrabook,,kilimall,Anonymous,
"Perfect bag 10/10!!! high grade, amazing, and super fast delivery!!!",1,,,synthetic,synthetic_generator,
"Best shoe ever, approved. 100% recommend. Don't miss this deal!!!",1,,,synthetic,synthetic_generator,
[New Arrivals] M-HORSE CAMON 40 PRO+ 128GB + 8GB (4+4GB) RAM 6.8&quot; 16MP Selfie 32MP REAR CAMERA 5000mAh Battery Type-C Dual SIM 4G Side Fingerprint IP64 Smart Phones + FREE GIFTS JUST FOR YOU,0,https://www.kilimall.co.ke/listing/1001771873-New-Arrivals-MHORSE-CAMON-40-PRO-128GB-8GB-44GB-RAM-68-16MP-Selfie-32MP-REAR-CAMERA-5000mAh-Battery-TypeC-Dual-SIM-4G-Side-Fingerprint-IP64-Smart-Phones-FREE-GIFTS-JUST-FOR-YOU,,kilimall,Anonymous,
"Best price for AILYONS High Performance Home Appliance Energy Efficient Dry Iron Box, Ironbox + FREE GIFT Rechargeable Dining Table Water Hand Pump Dispenser.1000W",0,https://www.kilimall.co.ke/listing/1001415714-AILYONS-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Dining-Table-Water-Hand-Pump-Dispenser1000WCompact-designNonstick-soleplateOverheating-prot,,kilimall,Anonymous,
"Fake, not worth it. This tablet is a fake, it is definitely not running android 12, it is running a fake version of android that spoofs it as 12. It is slow, non responsive and cannot run some apps because it is probably at android5 or 6. I would CERTAINLY NOT! reccomend that anyone spends money on this",0,https://www.jumia.co.ke/c-idea-10.1-inch-android-tablet-pc-12-dual-camera-sim-8gb-ram-512gb-bluetooth-fntastic-green-178014578.html,04-07-2024,jumia,Munyao,1 out of 5
"LIMITED TIME DEAL!! CORN MEGA 100 MAX 6.67&quot;HD 64GB ROM, 5(2+3)GB RAM 5000mAh DUAL SIM CARD SMART PHONE SIDE FINGERPRINT FACE UNLOCK, 3G NETWORK13MP ULTRA CAMERA 8MP SELFIE-SMARTPHONE+FREEGIFT",0,https://www.kilimall.co.ke/listing/1001744385-LIMITED-TIME-DEAL-CORN-MEGA-100-MAX-667HD-64GB-ROM-523GB-RAM-5000mAh-DUAL-SIM-CARD-SMART-PHONE-SIDE-FINGERPRINT-FACE-UNLOCK-3G-NETWORK13MP-ULTRA-CAMERA-8MP-SELFIESMARTPHONEFREEGIFT,,kilimall,Anonymous,
"Perfect speaker 10/10!!! luxury, buy now, and super fast delivery!!!",1,,,synthetic,synthetic_generator,
good quality. Price tag is not worth it but serves the purpose,0,https://www.jumia.co.ke/itel-fast-wall-charger-type-c-a.i-smart-features-icw-204u-325222948.html,23-12-2025,jumia,Anthony,4 out of 5
Best price for {FREE MOUSE } HP ELITEBOOK 8460P CORE I5 8GB RAM 500GB HDD 4TH GENERATION REFURBISHED LAPTOP 14&quot; INCH WINDOWS 10 PRO PLUS + FREE MOUSE LAPTOPS COMPUTER PC NOTEBOOK Color-Gray 3041415,0,https://www.kilimall.co.ke/listing/3041415-Dell-EliteBook-8460p-Laptop,,kilimall,Anonymous,
Best price for Tecno Spark 40 AI 128GB + 8GB(4+4) 6.67&#x27;&#x27; Screen 50MP Main Camera 8MP Front Camera 45W Super Charging Fingerprint Infrared Remote Control Free Cover IP64 Waterproof Smart Phones Color-titanium grey Storage-128GB+ 8(4+4 )GB 1001347735,0,https://www.kilimall.co.ke/listing/1001347735-TECNO-Spark-40-AI-Smartphone,,kilimall,Anonymous,
Best price for Vestwoods Lithium Battery by Haier,0,https://www.kilimall.co.ke/listing/1001663098-Haier-Vestwoods-Lithium-Battery-for-Home-Appliances,,kilimall,Anonymous,
AMAZING speaker!!! top rated and shop now! Buy now and thank me later!!!,1,,,synthetic,synthetic_generator,
"Best kettle ever, hot deal. must have. Don't miss this deal!!!",1,,,synthetic,synthetic_generator,
"Best laptop ever, must-have. game-changer. Don't miss this deal!!!",1,,,synthetic,synthetic_generator,
⚡ Protect Your TV &amp; Fridge Today! 13A Surge Guard – Voltage Protection for Home Appliances 🛡🔌,0,https://www.kilimall.co.ke/listing/1001815702-Protect-Your-TV-Fridge-Today-13A-Surge-Guard-Voltage-Protection-for-Home-Appliances,,kilimall,Anonymous,
【LIMITED OFFER】 Euroken Euro65-3+1E-E 60l Home Improvement Free Standing Cooker 3 Gas +1 Hotplate Kitchen Appliance With Electric Oven - 60x65cm,0,https://www.kilimall.co.ke/listing/1000100017-Euroken-Euro6531EE-Standing-Gas-Cooker,,kilimall,Anonymous,
Best price for Infinix Hot 60i 256GB+16(8+8)GB 6.7&quot; 120Hz 4G Slim Phone Dual SIM 5160mAh 45W Fast Charging 50MP Camera Fingerprint Lock IP64 Gyroscope G81 Ultimate One-Tap AI Smart Phones Color-Sleek Black Storage-8GB+256GB 1001361489,0,https://www.kilimall.co.ke/listing/1001361489-Infinix-Hot-60i-256GB-Smartphone,,kilimall,Anonymous,
"🎇SILVER CREST Commercial Heavy Duty Blender 2in1 6500watts Double Jug With Grinding Machine Or Grinder🦋Silvercrest offers affordable‎‎,‎‎ quality‎‎,‎‎ energy‎‎-efficient home appliances ‎‎for variou",0,https://www.kilimall.co.ke/listing/1001538284-SILVER-CREST-6500W-Heavy-Duty-Blender-2in1,,kilimall,Anonymous,
Unbeatable blender! buy now! game-changer! Five stars!!!,1,,,synthetic,synthetic_generator,
Special Offer Refurbished Lenovo ThinkPad T470s Laptop Intel Core i5 7th Gen 8GB RAM 256GB SSD 14&#39;&#39; Inch Refurbished Laptops Windows 10 pro and Microsoft Office Installed Computer Notebook,0,https://www.kilimall.co.ke/listing/1001712071-Special-Offer-Refurbished-Lenovo-ThinkPad-T470s-Laptop-Intel-Core-i5-7th-Gen-8GB-RAM-256GB-SSD-14-Inch-Refurbished-Laptops-Windows-10-pro-and-Microsoft-Office-Installed-Computer-Notebook,,kilimall,Anonymous,
Best price for 💥 HOT OFFER 💥 – 1 PC Smartpro 180L Chest Deep Freezer Energy Saving Durable Home Appliance Color-as pictured 1001811025,0,https://www.kilimall.co.ke/listing/1001811025-HOT-OFFER-1-PC-Smartpro-180L-Chest-Deep-Freezer-Energy-Saving-Durable-Home-Appliance,,kilimall,Anonymous,
AMAZING phone!!! special and superior! Buy now and thank me later!!!,1,,,synthetic,synthetic_generator,
"Best phone ever, genuine. special offer. Don't miss this deal!!!",1,,,synthetic,synthetic_generator,
Best price for OFFER OFFER!!!!! Refurbished HP Probook 840 i5+8GB+500GB 1-2GHz processor Windows 11 Bluetooth Refurbished Laptop Notebook Computer Laptops Color-Black 1001696311,0,https://www.kilimall.co.ke/listing/1001696311-OFFER-OFFER-Refurbished-HP-Probook-840-i58GB500GB-12GHz-processor-Windows-11-Bluetooth-Refurbished-Laptop-Notebook-Computer-Laptops,,kilimall,Anonymous,
* Solar backup &amp; inverters Color-Gray Size-Vestwoods Lithium Battery by Haier 1001663098,0,https://www.kilimall.co.ke/listing/1001663098-Haier-Vestwoods-Lithium-Battery-for-Home-Appliances,,kilimall,Anonymous,
"Ships from Dagoretti South , select an address to view delivery times.",0,https://www.kilimall.co.ke/listing/1000100017-Euroken-Euro6531EE-Standing-Gas-Cooker,,kilimall,Anonymous,
"Perfect kettle 10/10!!! life changing, strongly recommend, and super fast delivery!!!",1,,,synthetic,synthetic_generator,
"P 840 G3 laptop, Core i5 6th Gen laptop, HP business laptop, student laptop, office laptop, refurbished HP laptop, 8GB RAM laptop, 256GB SSD laptop, Windows 11 Pro laptop, affordable laptop Kenya",0,https://www.kilimall.co.ke/listing/1001713236-P-840-G3-laptop-Core-i5-6th-Gen-laptop-HP-business-laptop-student-laptop-office-laptop-refurbished-HP-laptop-8GB-RAM-laptop-256GB-SSD-laptop-Windows-11-Pro-laptop-affordable-laptop-Kenya,,kilimall,Anonymous,
Best price for ⚡ FLASH OFFER ⚡ – 1PC Premier 90L Single Door Refrigerator Energy Saving Compact Fridge Freezer Low Noise Durable Home Appliance Color-as pictured 1001810993,0,https://www.kilimall.co.ke/listing/1001810993-FLASH-OFFER-1PC-Premier-90L-Single-Door-Refrigerator-Energy-Saving-Compact-Fridge-Freezer-Low-Noise-Durable-Home-Appliance,,kilimall,Anonymous,
Unbeatable blender! ultimate! save big! Five stars!!!,1,,,synthetic,synthetic_generator,
I love it. Details just as avertised. the phone is superb. To more years of purchase from jumia. Still cant beleive i got this device with the price,0,https://www.jumia.co.ke/infinix-smart-10-6.67-4gb-ram-64gb-dual-sim-5000-mah-4g-titanium-silver-1yr-wrty-325385273.html,15-10-2025,jumia,Samuel,5 out of 5
"Ships from Kilimani , select an address to view delivery times.",0,https://www.kilimall.co.ke/listing/1001536233-Lenovo-100e-Chromebook-116-Inch,,kilimall,Anonymous,
"Best shoe ever, first class. best seller. Don't miss this deal!!!",1,,,synthetic,synthetic_generator,
AMAZING shoe!!! wonderful and best-selling! Buy now and thank me later!!!,1,,,synthetic,synthetic_generator,
"Best bag ever, world class. deluxe. Don't miss this deal!!!",1,,,synthetic,synthetic_generator,
Best price for Refurbished Hp ProBook 645 G4 ryzen 3 7TH GEN 2.5GHz | 8GB RAM | 256GB SSD |14inch HD screen Display Refurbished Hp Laptop Computer | Notebook Color-Silver 1001731565,0,https://www.kilimall.co.ke/listing/1001731565-Refurbished-Hp-ProBook-645-G4-ryzen-3-7TH-GEN-25GHz-8GB-RAM-256GB-SSD-14inch-HD-screen-Display-Refurbished-Hp-Laptop-Computer-Notebook,,kilimall,Anonymous,
