text,label,source_url,date,platform,user,rating,record_id
Unbeatable kettle! deluxe! unique! Five stars!!!,1,,,synthetic,synthetic_generator,,r0000028
I do don't like it. The charger is not working,0,https://www.jumia.co.ke/villaon-v120-1.77-1000mah-triple-sim-feature-phone-black-326369869.html,05-03-2026,jumia,Joseph,1 out of 5,r0000030
"LIMITED TIME DEALS!!!! BRAND NEW CORN C16 PRO MAX 6.6&quot; STORAGE ROM 64GB RAM 5GB STRONG BATTERY 5000 mAh DOUBLE SIM CARD SMART PHONE ON OFFER FINGERPRINT FACE UNLOCK,8MP SEILFE 13MP TYPE-C",0,https://www.kilimall.co.ke/listing/1001582765-CALUS-C16-PRO-MAX-64GB-Smartphone,,kilimall,Anonymous,,r0000031
"Good. Battery is giving me like 3 to 4 days, and also easier to use",0,https://www.jumia.co.ke/villaon-v110-1.77-1000mah-dual-sim-black-326370555.html,04-03-2026,jumia,David,5 out of 5,r0000034
"Ships from Zimmerman , select an address to view delivery times.",0,https://www.kilimall.co.ke/listing/1001801207-Fridge-TV-Guard13-Amps-Amp-Power-Protection-for-TVs-Refrigerators-and-Home-Appliances,,kilimall,Anonymous,,r0000035
"Rating high. The product is perfect. Deep base,clear sound and can keep charge for along time in use. I recommend potential buyers",0,https://www.jumia.co.ke/tws-budsair-5-i-deep-bass-with-13.22mm-large-driver-lightweight-half-in-ear-design-32-hours-playtime-ai-translations-iew-50-black-itel-mpg9977072.html,22-01-2026,jumia,David,5 out of 5,r0000036
Best price for Ailyons 16-inch wall fan.,0,https://www.kilimall.co.ke/listing/1001646722-Ailyons-16inch-Wall-Fan,,kilimall,Anonymous,,r0000037
AMAZING bag!!! highly recommend and click now! Buy now and thank me later!!!,1,,,synthetic,synthetic_generator,,r0000038
"Meets expectation. Though it overheats, maybe you can improve on their OS",0,https://www.jumia.co.ke/c1-tabletdual-sim8-inch-633gb-ram-64gb-rom-android14-4000mah-batterygray-redbeat-mpg8920967.html,02-03-2026,jumia,Daglas,4 out of 5,r0000041
"Best price for AILYONS Electric Kettle + Free 4-Way Extension Cable – Coil-Less Water Heater &amp; Boiler Jug, Fast Boil, Stainless Steel, Durable &amp; Convenient Home Appliance Set Color-Silver 1001537186",0,https://www.kilimall.co.ke/listing/1001537186-AILYONS-Electric-Kettle-Stainless-Steel,,kilimall,Anonymous,,r0000044
Best price for Refurbished Apple MacBook Pro 13&quot; Core i5 2.4GHz 8GB RAM 500GB HDD (Mid 2012) MacOS Laptop Silver + Bag Color-Silver 1001258085,0,https://www.kilimall.co.ke/listing/1001258085-Refurbished-Apple-MacBook-Pro-13-Core-i5-24GHz-8GB-RAM-500GB-HDD-Mid-2012-MacOS-Laptop-Silver-Bag,,kilimall,Anonymous,,r0000045
⭐ MEGA OFFER ⭐ – 1 PC Smartpro 180L Chest Freezer Deep Freezer Energy Saving Durable Home Appliance,0,https://www.kilimall.co.ke/listing/1001811009-MEGA-OFFER-1-PC-Smartpro-180L-Chest-Freezer-Deep-Freezer-Energy-Saving-Durable-Home-Appliance,,kilimall,Anonymous,,r0000046
Best price for [Tech Week] Brand New Realme Note 50 90Hz 6.74&quot; 64GB ROM + 6(3+3)GB RAM 5000mAh 13MP Al Camera Unisoc Tiger T612 Type-C 3-Card Slot Smart Phones Side Fingerprint phone Color-Sky Blue Storage-64GB + 6(3+3)GB 1000192714,0,https://www.kilimall.co.ke/listing/1000192714-realme-Note-50-90Hz-Smartphone,,kilimall,Anonymous,,r0000048
perfect. The colours are good and everything so far is amazing ????,0,https://www.jumia.co.ke/tv-32-inches-qled-smart-tv-frameless-bluetooth-android14-wifi-digital-netflix-youtube-prime-32-television-1-year-warranty-new-launch-price-wall-mount-free-gift-itel-mpg9993922.html,02-03-2026,jumia,Subira,4 out of 5,r0000050
"Corn C16 Pro Max 64GB Storage +5(2+3Extended ) RamUnlocked Cell Phone, Android 6.6&quot;HD +WATERDROP SCREEN 13MP Main Camera,8mp Front camera 5000mAh Dual SIM, Face ID, GPS, OTG Smart Phone Smartphone",0,https://www.kilimall.co.ke/listing/1001200040-Corn-C16-Pro-Max-64GB-Storage-523Extended-RamUnlocked-Cell-Phone-Android-66HD-WATERDROP-SCREEN-13MP-Main-Camera8mp-Front-camera-5000mAh-Dual-SIM-Face-ID-GPS-OTG-Smart-Phone-Smartphone,,kilimall,Anonymous,,r0000052
Best price for [Tech Week] Brand New Samsung Galaxy A06 64GB+4GB 50MP Camera 6.7&quot; 90Hz MTK Helio G85 (12nm) 5000mAh 25W Type-C Charge Android 14 Smart Phones phone Color-Black Storage-64GB+4GB 3054740,0,https://www.kilimall.co.ke/listing/3054740-Samsung-Galaxy-A05-64GB-50MP-Camera,,kilimall,Anonymous,,r0000053
"AILYONS High Performance Home Appliance Energy Efficient Dry Iron Box, Ironbox + FREE GIFT Rechargeable Dining Table Water Hand Pump Dispenser.1000W",0,https://www.kilimall.co.ke/listing/1001415714-AILYONS-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Dining-Table-Water-Hand-Pump-Dispenser1000WCompact-designNonstick-soleplateOverheating-prot,,kilimall,Anonymous,,r0000054
"Lovely!. A good wearable device, beautiful look. Battery lasts long. Product has nice features and functions well. Great value!",0,https://www.jumia.co.ke/itel-smartwatch-edge-r1-pro-043-1.43-super-amoled-display-5-minute-charge-24-hour-usageip68-waterproof-308793532.html,12-11-2025,jumia,Dan,5 out of 5,r0000055
OFFER OFFER!!!!! Refurbished HP Probook 840 i5+8GB+500GB 1-2GHz processor Windows 11 Bluetooth Refurbished Laptop Notebook Computer Laptops,0,https://www.kilimall.co.ke/listing/1001696311-OFFER-OFFER-Refurbished-HP-Probook-840-i58GB500GB-12GHz-processor-Windows-11-Bluetooth-Refurbished-Laptop-Notebook-Computer-Laptops,,kilimall,Anonymous,,r0000057
"LOW POWER STORAGE, BAD FOR CALLS. The neck band is okay but it doesn't store power for long. It can't get to used for more than an hour. It powers off and we have to charge for more than five times a day",0,https://www.jumia.co.ke/generic-g03-neckband-wireless-bluetooth-in-ear-sports-earphone-headset-169371598.html,,jumia,Anonymous,2 out of 5,r0000058
Unbeatable laptop! amazing! premium quality! Five stars!!!,1,,,synthetic,synthetic_generator,,r0000059
64GB ROM + 5(2+3Extended)GB RAM,0,https://www.kilimall.co.ke/listing/1001200040-Corn-C16-Pro-Max-64GB-Storage-523Extended-RamUnlocked-Cell-Phone-Android-66HD-WATERDROP-SCREEN-13MP-Main-Camera8mp-Front-camera-5000mAh-Dual-SIM-Face-ID-GPS-OTG-Smart-Phone-Smartphone,,kilimall,Anonymous,,r0000060
Good. Light weight and serves the purpose,0,https://www.jumia.co.ke/villaon-v5606-1.77-1000mah-feature-phone-dual-sim-black-326370531.html,02-03-2026,jumia,MWI,5 out of 5,r0000063
"Best kettle ever, act fast. 5 star. Don't miss this deal!!!",1,,,synthetic,synthetic_generator,,r0000064
I like it. It works well,0,https://www.jumia.co.ke/tws-budsair-5-i-deep-bass-with-13.22mm-large-driver-lightweight-half-in-ear-design-32-hours-playtime-ai-translations-iew-50-black-itel-mpg9977072.html,06-03-2026,jumia,Yvonne,4 out of 5,r0000066
AMAZING shoe!!! click here and perfect gift! Buy now and thank me later!!!,1,,,synthetic,synthetic_generator,,r0000067
Bad. The worst. Failed after only 2 days of use,0,https://www.jumia.co.ke/tws-budsair-5-e-subtle-shine-sleek-curves-rich-deep-bass-sound-39-hours-long-playtime-3.5g-lightweight-in-ear-design-portable-with-a-lanyard-black-itel-mpg9975767.html,04-03-2026,jumia,Boygene,1 out of 5,r0000068
pods. They are awesome ????,0,https://www.jumia.co.ke/oraimo-spacebuds-lite-deep-bass-clear-calls-and-immersive-360-sound-40-hr-playtime-true-wireless-earbuds-black-325461606.html,28-01-2026,jumia,Julius,5 out of 5,r0000069
AMAZING blender!!! best ever and buy it now! Buy now and thank me later!!!,1,,,synthetic,synthetic_generator,,r0000071
"i like it. Nice bass, quality guaranteed from thus store????????",0,https://www.jumia.co.ke/oraimo-boompop-lite-enc-over-ear-wireless-headphones-black-312876048.html,05-11-2025,jumia,James,5 out of 5,r0000073
"Best price for AILYONS 2 L Electric Kettle + FREE 4 WAY SOCKET EXTENSION CABLE – Coil-Less Water Heater &amp; Boiler Jug, Fast Boil, Stainless Steel, Durable &amp; Convenient Home Appliance Set Power King Ailyon Color-Silver 1001790001",0,https://www.kilimall.co.ke/listing/1001790001-AILYONS-2-L-Electric-Kettle-FREE-4-WAY-SOCKET-EXTENSION-CABLE-CoilLess-Water-Heater-Boiler-Jug-Fast-Boil-Stainless-Steel-Durable-Convenient-Home-Appliance-Set-Power-King-Ailyon,,kilimall,Anonymous,,r0000075
I like it. Nice phone for a change,0,https://www.jumia.co.ke/samsung-galaxy-a17-4g-6.7-4gb-ram-128gb-dual-sim-5000mah-black-2yrs-wrty-326942489.html,04-03-2026,jumia,kellen,5 out of 5,r0000077
Best price for Baby Phone Toy Music Sound Telephone Sleeping Toys With Teether Simulation Phone Kids Infant Early Educational Learning Toy Birthday Gift Color-Pink 1001605830,0,https://www.kilimall.co.ke/listing/10004787655-Baby-Phone-Toy-Music-Sound-Telephone-Sleeping-Toys-With-Teether-Simulation-Phone-Kids-Infant-Early-Educational-Learning-Toy-Birthday-Gift-Pink,,kilimall,Anonymous,,r0000078
It is finee. As advertised. It works perfectly,0,https://www.jumia.co.ke/oraimo-boompop-lite-enc-over-ear-wireless-headphones-black-312876048.html,11-11-2025,jumia,Maryann Muchiri,5 out of 5,r0000080
Dell Latitude 3190 x360 Touchscreen Intel Pentium 4GB RAM 128GB SSD 12 Inch Screen Size Refurbished Laptop With Windows 10 Pro and Microsoft Office Installed Computer Notebook Techno Supreme Suppliers,0,https://www.kilimall.co.ke/listing/1001687001-Dell-Latitude-3190-x360-Touchscreen-Intel-Pentium-4GB-RAM-128GB-SSD-12-Inch-Screen-Size-Refurbished-Laptop-With-Windows-10-Pro-and-Microsoft-Office-Installed-Computer-Notebook-Techno-Supreme-Suppliers,,kilimall,Anonymous,,r0000081
Good product. Good as expected,0,https://www.jumia.co.ke/desktop-smartphone-holder-foldable-phone-stand-black-generic-mpg416630.html,02-03-2026,jumia,samson,1 out of 5,r0000083
long lasting battery. Poor camera,0,https://www.jumia.co.ke/koruima-k2402-button-phones-2.4-1800mah-5v-1a-type-c-charger-big-battery-dual-sim-feature-phones-black-325452530.html,09-02-2026,jumia,Cecilia,4 out of 5,r0000086
"Best shoe ever, approved. 100% recommend. Don't miss this deal!!!",1,,,synthetic,synthetic_generator,,r0000089
[New Arrivals] M-HORSE CAMON 40 PRO+ 128GB + 8GB (4+4GB) RAM 6.8&quot; 16MP Selfie 32MP REAR CAMERA 5000mAh Battery Type-C Dual SIM 4G Side Fingerprint IP64 Smart Phones + FREE GIFTS JUST FOR YOU,0,https://www.kilimall.co.ke/listing/1001771873-New-Arrivals-MHORSE-CAMON-40-PRO-128GB-8GB-44GB-RAM-68-16MP-Selfie-32MP-REAR-CAMERA-5000mAh-Battery-TypeC-Dual-SIM-4G-Side-Fingerprint-IP64-Smart-Phones-FREE-GIFTS-JUST-FOR-YOU,,kilimall,Anonymous,,r0000090
"Best price for AILYONS High Performance Home Appliance Energy Efficient Dry Iron Box, Ironbox + FREE GIFT Rechargeable Dining Table Water Hand Pump Dispenser.1000W",0,https://www.kilimall.co.ke/listing/1001415714-AILYONS-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Dining-Table-Water-Hand-Pump-Dispenser1000WCompact-designNonstick-soleplateOverheating-prot,,kilimall,Anonymous,,r0000091
"LIMITED TIME DEAL!! CORN MEGA 100 MAX 6.67&quot;HD 64GB ROM, 5(2+3)GB RAM 5000mAh DUAL SIM CARD SMART PHONE SIDE FINGERPRINT FACE UNLOCK, 3G NETWORK13MP ULTRA CAMERA 8MP SELFIE-SMARTPHONE+FREEGIFT",0,https://www.kilimall.co.ke/listing/1001744385-LIMITED-TIME-DEAL-CORN-MEGA-100-MAX-667HD-64GB-ROM-523GB-RAM-5000mAh-DUAL-SIM-CARD-SMART-PHONE-SIDE-FINGERPRINT-FACE-UNLOCK-3G-NETWORK13MP-ULTRA-CAMERA-8MP-SELFIESMARTPHONEFREEGIFT,,kilimall,Anonymous,,r0000094
good quality. Price tag is not worth it but serves the purpose,0,https://www.jumia.co.ke/itel-fast-wall-charger-type-c-a.i-smart-features-icw-204u-325222948.html,23-12-2025,jumia,Anthony,4 out of 5,r0000096
Best price for Vestwoods Lithium Battery by Haier,0,https://www.kilimall.co.ke/listing/1001663098-Haier-Vestwoods-Lithium-Battery-for-Home-Appliances,,kilimall,Anonymous,,r0000099
AMAZING speaker!!! top rated and shop now! Buy now and thank me later!!!,1,,,synthetic,synthetic_generator,,r0000100
"Best kettle ever, hot deal. must have. Don't miss this deal!!!",1,,,synthetic,synthetic_generator,,r0000101
I like it. It's of it's best product.... I doesn't consume power and powerful Voice,0,https://www.jumia.co.ke/richripple-m10-led-display-bluetooth-headsets-9d-stereo-wireless-earphones-black-179381044.html,04-03-2026,jumia,Hezron,5 out of 5,r0000102
"Best laptop ever, must-have. game-changer. Don't miss this deal!!!",1,,,synthetic,synthetic_generator,,r0000103
⚡ Protect Your TV &amp; Fridge Today! 13A Surge Guard – Voltage Protection for Home Appliances 🛡🔌,0,https://www.kilimall.co.ke/listing/1001815702-Protect-Your-TV-Fridge-Today-13A-Surge-Guard-Voltage-Protection-for-Home-Appliances,,kilimall,Anonymous,,r0000104
Best price for Infinix Hot 60i 256GB+16(8+8)GB 6.7&quot; 120Hz 4G Slim Phone Dual SIM 5160mAh 45W Fast Charging 50MP Camera Fingerprint Lock IP64 Gyroscope G81 Ultimate One-Tap AI Smart Phones Color-Sleek Black Storage-8GB+256GB 1001361489,0,https://www.kilimall.co.ke/listing/1001361489-Infinix-Hot-60i-256GB-Smartphone,,kilimall,Anonymous,,r0000106
Super Bass. It keeps power for long and also charges very fast. I would recommend to anyone. Thanks JUMIA ????,0,https://www.jumia.co.ke/richripple-m10-led-display-bluetooth-headsets-9d-stereo-wireless-earphones-black-179381044.html,06-03-2026,jumia,Daniel Tabalia,5 out of 5,r0000107
Nice one. It's working well,0,https://www.jumia.co.ke/bensoo-f9-bluetooth-headsets-wireless-earphones-earbuds-ear-325148603.html,27-02-2026,jumia,JOSEPH,5 out of 5,r0000108
Unbeatable blender! buy now! game-changer! Five stars!!!,1,,,synthetic,synthetic_generator,,r0000110
Special Offer Refurbished Lenovo ThinkPad T470s Laptop Intel Core i5 7th Gen 8GB RAM 256GB SSD 14&#39;&#39; Inch Refurbished Laptops Windows 10 pro and Microsoft Office Installed Computer Notebook,0,https://www.kilimall.co.ke/listing/1001712071-Special-Offer-Refurbished-Lenovo-ThinkPad-T470s-Laptop-Intel-Core-i5-7th-Gen-8GB-RAM-256GB-SSD-14-Inch-Refurbished-Laptops-Windows-10-pro-and-Microsoft-Office-Installed-Computer-Notebook,,kilimall,Anonymous,,r0000111
Best price for 💥 HOT OFFER 💥 – 1 PC Smartpro 180L Chest Deep Freezer Energy Saving Durable Home Appliance Color-as pictured 1001811025,0,https://www.kilimall.co.ke/listing/1001811025-HOT-OFFER-1-PC-Smartpro-180L-Chest-Deep-Freezer-Energy-Saving-Durable-Home-Appliance,,kilimall,Anonymous,,r0000112
AMAZING phone!!! special and superior! Buy now and thank me later!!!,1,,,synthetic,synthetic_generator,,r0000113
"Best phone ever, genuine. special offer. Don't miss this deal!!!",1,,,synthetic,synthetic_generator,,r0000114
Best price for OFFER OFFER!!!!! Refurbished HP Probook 840 i5+8GB+500GB 1-2GHz processor Windows 11 Bluetooth Refurbished Laptop Notebook Computer Laptops Color-Black 1001696311,0,https://www.kilimall.co.ke/listing/1001696311-OFFER-OFFER-Refurbished-HP-Probook-840-i58GB500GB-12GHz-processor-Windows-11-Bluetooth-Refurbished-Laptop-Notebook-Computer-Laptops,,kilimall,Anonymous,,r0000115
* Solar backup &amp; inverters Color-Gray Size-Vestwoods Lithium Battery by Haier 1001663098,0,https://www.kilimall.co.ke/listing/1001663098-Haier-Vestwoods-Lithium-Battery-for-Home-Appliances,,kilimall,Anonymous,,r0000116
Good. Ni vile inapoteza network but it's good,0,https://www.jumia.co.ke/villaon-v120-1.77-1000mah-triple-sim-feature-phone-black-326369869.html,23-02-2026,jumia,Elizabeth,4 out of 5,r0000117
"Perfect kettle 10/10!!! life changing, strongly recommend, and super fast delivery!!!",1,,,synthetic,synthetic_generator,,r0000119
"P 840 G3 laptop, Core i5 6th Gen laptop, HP business laptop, student laptop, office laptop, refurbished HP laptop, 8GB RAM laptop, 256GB SSD laptop, Windows 11 Pro laptop, affordable laptop Kenya",0,https://www.kilimall.co.ke/listing/1001713236-P-840-G3-laptop-Core-i5-6th-Gen-laptop-HP-business-laptop-student-laptop-office-laptop-refurbished-HP-laptop-8GB-RAM-laptop-256GB-SSD-laptop-Windows-11-Pro-laptop-affordable-laptop-Kenya,,kilimall,Anonymous,,r0000120
Best price for ⚡ FLASH OFFER ⚡ – 1PC Premier 90L Single Door Refrigerator Energy Saving Compact Fridge Freezer Low Noise Durable Home Appliance Color-as pictured 1001810993,0,https://www.kilimall.co.ke/listing/1001810993-FLASH-OFFER-1PC-Premier-90L-Single-Door-Refrigerator-Energy-Saving-Compact-Fridge-Freezer-Low-Noise-Durable-Home-Appliance,,kilimall,Anonymous,,r0000121
"Anti-lost feature and battery life.. Works perfectly, retains charge and got some good bass",0,https://www.jumia.co.ke/oraimo-spacebuds-lite-true-wireless-earbuds-sound360-anti-lost-black-325602719.html,04-03-2026,jumia,Purity,5 out of 5,r0000123
"A nice gadget.. Decent battery life. Nice display,",0,https://www.jumia.co.ke/infinix-smart-10-6.67-4gb-ram-64gb-dual-sim-5000-mah-4g-black-1yr-wrty-325385282.html,15-12-2025,jumia,Charles,5 out of 5,r0000124
"display, slipping mode, just cool. Display and shipping ???? delivery mode",0,https://www.jumia.co.ke/samsung-galaxy-a16-4gb-ram-128gb-rom-6.7-android-145000mah-light-gray-296934715.html,02-03-2026,jumia,Andrew,5 out of 5,r0000126
Didnt last past two months. Cheap is expensive,0,https://www.jumia.co.ke/generic-g03-neckband-wireless-bluetooth-in-ear-sports-earphone-headset-169371598.html,24-02-2026,jumia,Carolyne,1 out of 5,r0000127
????????. oraimo really impressed me????????,0,https://www.jumia.co.ke/oraimo-spacebuds-neo-anc-spatial-audio-true-wireless-earphones-light-gold-326145067.html,18-02-2026,jumia,eden matara,5 out of 5,r0000129
I love it. Details just as avertised. the phone is superb. To more years of purchase from jumia. Still cant beleive i got this device with the price,0,https://www.jumia.co.ke/infinix-smart-10-6.67-4gb-ram-64gb-dual-sim-5000-mah-4g-titanium-silver-1yr-wrty-325385273.html,15-10-2025,jumia,Samuel,5 out of 5,r0000130
"Best shoe ever, first class. best seller. Don't miss this deal!!!",1,,,synthetic,synthetic_generator,,r0000132
AMAZING shoe!!! wonderful and best-selling! Buy now and thank me later!!!,1,,,synthetic,synthetic_generator,,r0000133
I like it. Drains battery first ????,0,https://www.jumia.co.ke/villaon-v110-1.77-1000mah-dual-sim-black-326370555.html,05-03-2026,jumia,Isaiah,3 out of 5,r0000136
i like it. work perfectly as advertised,0,https://www.jumia.co.ke/tws-budsair-5-e-subtle-shine-sleek-curves-rich-deep-bass-sound-39-hours-long-playtime-3.5g-lightweight-in-ear-design-portable-with-a-lanyard-black-itel-mpg9975767.html,06-03-2026,jumia,Tyson,5 out of 5,r0000138
REDMI 15C 128GB ROM 8(4+4) GB Ram 6.9&#39;&#39; LCD 50MP Main Camera 8MP selfie camera 6000mAh 33W Fast Charger Android 15 Xiaomi Hyper OS 2 Mediatek Side Fingerprint smart phones + FREE GIFTS FOR YOU,0,https://www.kilimall.co.ke/listing/1001491460-XIAOMI-REDMI-15C-128GB-8GB-RAM-69-50MP-Smartphone,,kilimall,Anonymous,,r0000140
Men Running Shoes Outdoor Sport Sneakers Man Vulcanized Shoes Flat Casual Sneakers for Men Shoes 2026 New Brand Footwear,0,https://www.kilimall.co.ke/listing/10004811517,,kilimall,Anonymous,,r0000143
Best price for ⚡ Protect Your TV &amp; Fridge Today! 13A Surge Guard – Voltage Protection for Home Appliances 🛡🔌 Color-Tv guard 1001815702,0,https://www.kilimall.co.ke/listing/1001815702-Protect-Your-TV-Fridge-Today-13A-Surge-Guard-Voltage-Protection-for-Home-Appliances,,kilimall,Anonymous,,r0000144
I like it. Phone is good for the price and Jumia service is✅,0,https://www.jumia.co.ke/poco-c85-6.9-256gb-8gb-ram-dual-sim-6000mah-4g-black-25-months-warranty-325669322.html,09-02-2026,jumia,Antony,5 out of 5,r0000145
I like it. Very good 10/10,0,https://www.jumia.co.ke/infinix-hot-60i-4g6.7-inch12-gb66ram128gb-rom-battery-5160mah-comes-with-free-gifts-airpods-led-watch-powerbank-for-you-neon-red-324994855.html,21-01-2026,jumia,Millicent Ogonda,5 out of 5,r0000146
Electric Fan Portable Cooling for Laptops Silent Usb Fan for Home Officeoutdoor Desktop Cooler Camping Air Appliances Local fast delivery,0,https://www.kilimall.co.ke/listing/1001338947-Generic-Portable-Electric-Fan-for-Laptop-Desktop-Cooling,,kilimall,Anonymous,,r0000147
"It lasts all day with heavy use. The camera is amazing, and battery lasts a full day even with heavy use. It's quite light which is comfortable in the pocket",0,https://www.jumia.co.ke/xiaomi-redmi-note-15-6.77-8gb-ram-256gb-6000mah-black-25-months-warranty-free-buds-6-play-326642290.html,04-03-2026,jumia,Lilian,5 out of 5,r0000148
